fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-27,70202,Okinawa,Santa Cruz,14167,2,74
2021-10-23,70202,Okinawa,Santa Cruz,14167,2,69
2021-12-04,70202,Okinawa,Santa Cruz,14167,1,80
2021-11-27,70202,Okinawa,Santa Cruz,14167,1,79
2021-11-20,70202,Okinawa,Santa Cruz,14167,2,73
2021-11-20,70202,Okinawa,Santa Cruz,14167,1,79
2021-11-13,70202,Okinawa,Santa Cruz,14167,2,73
2021-11-13,70202,Okinawa,Santa Cruz,14167,1,79
2021-12-04,70202,Okinawa,Santa Cruz,14167,2,75
2021-10-30,70202,Okinawa,Santa Cruz,14167,1,77
2021-10-30,70202,Okinawa,Santa Cruz,14167,2,70
2021-10-23,70202,Okinawa,Santa Cruz,14167,1,77
