fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-12-04,10601,Tarabuco,Chuquisaca,17027,2,21
2021-11-27,10601,Tarabuco,Chuquisaca,17027,1,29
2021-11-20,10601,Tarabuco,Chuquisaca,17027,2,20
2021-11-20,10601,Tarabuco,Chuquisaca,17027,1,24
2021-11-13,10601,Tarabuco,Chuquisaca,17027,2,20
2021-10-30,10601,Tarabuco,Chuquisaca,17027,2,19
2021-11-13,10601,Tarabuco,Chuquisaca,17027,1,22
2021-11-27,10601,Tarabuco,Chuquisaca,17027,2,20
2021-10-23,10601,Tarabuco,Chuquisaca,17027,2,18
2021-10-23,10601,Tarabuco,Chuquisaca,17027,1,19
2021-12-04,10601,Tarabuco,Chuquisaca,17027,1,33
2021-10-30,10601,Tarabuco,Chuquisaca,17027,1,20
