fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-12-04,70802,Trigal,Santa Cruz,2243,1,69
2021-11-13,70802,Trigal,Santa Cruz,2243,2,59
2021-10-23,70802,Trigal,Santa Cruz,2243,1,66
2021-10-23,70802,Trigal,Santa Cruz,2243,2,54
2021-10-30,70802,Trigal,Santa Cruz,2243,1,66
2021-10-30,70802,Trigal,Santa Cruz,2243,2,55
2021-12-04,70802,Trigal,Santa Cruz,2243,2,61
2021-11-13,70802,Trigal,Santa Cruz,2243,1,67
2021-11-20,70802,Trigal,Santa Cruz,2243,1,68
2021-11-20,70802,Trigal,Santa Cruz,2243,2,59
2021-11-27,70802,Trigal,Santa Cruz,2243,1,68
2021-11-27,70802,Trigal,Santa Cruz,2243,2,60
