fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-27,11003,Machareti,Chuquisaca,7735,2,69
2021-11-20,11003,Machareti,Chuquisaca,7735,2,69
2021-11-27,11003,Machareti,Chuquisaca,7735,1,73
2021-10-30,11003,Machareti,Chuquisaca,7735,2,68
2021-12-04,11003,Machareti,Chuquisaca,7735,1,74
2021-12-04,11003,Machareti,Chuquisaca,7735,2,71
2021-11-13,11003,Machareti,Chuquisaca,7735,2,69
2021-11-20,11003,Machareti,Chuquisaca,7735,1,73
2021-10-23,11003,Machareti,Chuquisaca,7735,1,71
2021-11-13,11003,Machareti,Chuquisaca,7735,1,73
2021-10-30,11003,Machareti,Chuquisaca,7735,1,72
2021-10-23,11003,Machareti,Chuquisaca,7735,2,68
