fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-12-18,30801,Cliza,Cochabamba,23987,2,71
2021-11-27,30801,Cliza,Cochabamba,23987,1,76
2021-10-23,30801,Cliza,Cochabamba,23987,2,66
2021-10-23,30801,Cliza,Cochabamba,23987,1,72
2022-01-22,30801,Cliza,Cochabamba,23987,1,90
2021-10-30,30801,Cliza,Cochabamba,23987,1,73
2021-12-18,30801,Cliza,Cochabamba,23987,1,79
2021-12-04,30801,Cliza,Cochabamba,23987,2,70
2021-12-04,30801,Cliza,Cochabamba,23987,1,77
2021-11-27,30801,Cliza,Cochabamba,23987,2,68
2021-11-20,30801,Cliza,Cochabamba,23987,2,68
2021-11-20,30801,Cliza,Cochabamba,23987,1,75
2021-11-13,30801,Cliza,Cochabamba,23987,2,68
2021-11-13,30801,Cliza,Cochabamba,23987,1,75
2021-10-30,30801,Cliza,Cochabamba,23987,2,66
2022-01-22,30801,Cliza,Cochabamba,23987,2,74
