fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2022-01-22,31301,Mizque,Cochabamba,29059,2,42
2022-01-22,31301,Mizque,Cochabamba,29059,1,49
2021-12-18,31301,Mizque,Cochabamba,29059,2,41
2021-12-18,31301,Mizque,Cochabamba,29059,1,43
2021-12-04,31301,Mizque,Cochabamba,29059,1,43
2021-12-04,31301,Mizque,Cochabamba,29059,2,40
2021-10-23,31301,Mizque,Cochabamba,29059,2,36
2021-10-30,31301,Mizque,Cochabamba,29059,1,39
2021-11-27,31301,Mizque,Cochabamba,29059,2,40
2021-11-27,31301,Mizque,Cochabamba,29059,1,43
2021-11-20,31301,Mizque,Cochabamba,29059,2,40
2021-11-20,31301,Mizque,Cochabamba,29059,1,43
2021-11-13,31301,Mizque,Cochabamba,29059,2,40
2021-11-13,31301,Mizque,Cochabamba,29059,1,42
2021-10-30,31301,Mizque,Cochabamba,29059,2,36
2021-10-23,31301,Mizque,Cochabamba,29059,1,39
