fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-20,40302,Choque Cota,Oruro,1946,2,46
2021-12-04,40302,Choque Cota,Oruro,1946,1,49
2021-11-27,40302,Choque Cota,Oruro,1946,2,46
2021-11-20,40302,Choque Cota,Oruro,1946,1,49
2021-11-13,40302,Choque Cota,Oruro,1946,2,46
2021-11-13,40302,Choque Cota,Oruro,1946,1,49
2021-10-30,40302,Choque Cota,Oruro,1946,2,41
2021-10-30,40302,Choque Cota,Oruro,1946,1,47
2021-10-23,40302,Choque Cota,Oruro,1946,2,41
2021-10-23,40302,Choque Cota,Oruro,1946,1,47
2021-12-04,40302,Choque Cota,Oruro,1946,2,46
2021-11-27,40302,Choque Cota,Oruro,1946,1,49
