fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2022-01-22,30401,Tarata,Cochabamba,8722,1,111
2022-01-22,30401,Tarata,Cochabamba,8722,2,93
2021-12-04,30401,Tarata,Cochabamba,8722,2,91
2021-11-13,30401,Tarata,Cochabamba,8722,2,87
2021-12-18,30401,Tarata,Cochabamba,8722,1,95
2021-12-04,30401,Tarata,Cochabamba,8722,1,94
2021-11-27,30401,Tarata,Cochabamba,8722,2,87
2021-11-27,30401,Tarata,Cochabamba,8722,1,93
2021-11-20,30401,Tarata,Cochabamba,8722,1,93
2021-11-20,30401,Tarata,Cochabamba,8722,2,87
2021-11-13,30401,Tarata,Cochabamba,8722,1,93
2021-10-30,30401,Tarata,Cochabamba,8722,2,84
2021-10-30,30401,Tarata,Cochabamba,8722,1,93
2021-10-23,30401,Tarata,Cochabamba,8722,2,83
2021-10-23,30401,Tarata,Cochabamba,8722,1,91
2021-12-18,30401,Tarata,Cochabamba,8722,2,91
