fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-10-23,41502,Todos Santos,Oruro,1069,1,17
2021-10-23,41502,Todos Santos,Oruro,1069,2,16
2021-10-30,41502,Todos Santos,Oruro,1069,2,16
2021-11-13,41502,Todos Santos,Oruro,1069,1,17
2021-11-13,41502,Todos Santos,Oruro,1069,2,16
2021-11-20,41502,Todos Santos,Oruro,1069,1,17
2021-11-20,41502,Todos Santos,Oruro,1069,2,16
2021-11-27,41502,Todos Santos,Oruro,1069,1,17
2021-11-27,41502,Todos Santos,Oruro,1069,2,16
2021-12-04,41502,Todos Santos,Oruro,1069,1,17
2021-12-04,41502,Todos Santos,Oruro,1069,2,17
2021-12-18,41502,Todos Santos,Oruro,1069,1,17
2021-12-18,41502,Todos Santos,Oruro,1069,2,17
2022-01-22,41502,Todos Santos,Oruro,1069,1,30
2022-01-22,41502,Todos Santos,Oruro,1069,2,21
2021-10-30,41502,Todos Santos,Oruro,1069,1,17
