fecha,cod_ine,municipio,departamento,poblacion2020,dosis,porcentaje
2021-11-20,50201,Uncia,Potosí,24686,1,37
2022-01-22,50201,Uncia,Potosí,24686,2,36
2022-01-22,50201,Uncia,Potosí,24686,1,50
2021-12-18,50201,Uncia,Potosí,24686,2,34
2021-12-04,50201,Uncia,Potosí,24686,2,33
2021-12-04,50201,Uncia,Potosí,24686,1,37
2021-11-27,50201,Uncia,Potosí,24686,2,32
2021-11-27,50201,Uncia,Potosí,24686,1,37
2021-11-20,50201,Uncia,Potosí,24686,2,32
2021-12-18,50201,Uncia,Potosí,24686,1,38
2021-11-13,50201,Uncia,Potosí,24686,2,32
2021-10-30,50201,Uncia,Potosí,24686,2,32
2021-10-30,50201,Uncia,Potosí,24686,1,35
2021-10-23,50201,Uncia,Potosí,24686,2,31
2021-10-23,50201,Uncia,Potosí,24686,1,35
2021-11-13,50201,Uncia,Potosí,24686,1,36
